id	name	type	type_general	species	kingdom	product_names	product_counts	most_unique_product_name	most_unique_product_count
A0A0B4EB91	Sesquiterpene synthase MAN_10655	sesq	sesq	Metarhizium anisopliae	Fungi	(−)-γ-cadinene; α-cadinol; δ-cadinene; germacrene D; (−)-β-elemene; α-cadinene; α-muurolene; γ-muurolene; (−)-β-caryophyllene	[5, 5, 37, 7, 26, 5, 18, 12, 64]	(−)-γ-cadinene	5
A0A0B4FWC3	Sesquiterpene synthase	sesq	sesq	Metarhizium brunneum	Fungi	(+)-corvol ether B; (+)-corvol ether A	[6, 6]	(+)-corvol ether B	6
A0A0B4G3Q7	Sesquiterpene synthase	sesq	sesq	Metarhizium brunneum	Fungi	(+)-corvol ether B; (+)-corvol ether A	[6, 6]	(+)-corvol ether B	6
A0A0B4G504	(E)-beta farnesene synthase MBR_03882	sesq	sesq	Metarhizium brunneum	Fungi	trans-β-farnesene	[24]	trans-β-farnesene	24
A0A0B4GN88	Sesquiterpene synthase MGU_11447	sesq	sesq	Metarhizium guizhouense	Fungi	(+)-corvol ether B; (+)-corvol ether A	[6, 6]	(+)-corvol ether B	6
A0A0B4IF96	Sesquiterpene synthase MAJ_08936	sesq	sesq	Metarhizium majus	Fungi	(+)-corvol ether B; (+)-corvol ether A	[6, 6]	(+)-corvol ether B	6
A0A0B5KP67	TPS4	sesq	sesq	Santalum spicatum	Plantae	sesquisabinene B	[5]	sesquisabinene B	5
A0A0C3FBR2	Sesquiterpene synthase	sesq	sesq	Piloderma croceum	Fungi	viridiflorene; γ-cadinene; (−)-β-elemene	[6, 7, 26]	viridiflorene	6
A0A0C9VD04	Sesquiterpene synthase M422DRAFT_47084	sesq	sesq	Sphaerobolus stellatus 	Fungi	viridiflorene; viridiflorol	[6, 2]	viridiflorol	2
A0A0D2L718	Delta(6)-protoilludene synthase	sesq	sesq	Hypholoma sublateritium	Fungi	Δ6-protoilludene	[20]	Δ6-protoilludene	20
A0A0D4D912	Germacrene A synthase	sesq	sesq	Xanthium strumarium	Plantae	(−)-germacrene A	[24]	(−)-germacrene A	24
A0A0E0LRP1	Sesquiterpene synthase	sesq	sesq	Oryza punctata	Plantae	(S)-β-bisabolene	[16]	(S)-β-bisabolene	16
A0A0E3KJK7	Beta-caryophyllene synthase	sesq	sesq	Ocimum kilimandscharicum	Plantae	(−)-β-caryophyllene	[64]	(−)-β-caryophyllene	64
A0A0F4GLU2	Geranylgeranyl diphosphate synthase	sester	sester	Zymoseptoria brevis	Fungi	sesterevisene	[1]	sesterevisene	1
A0A0F6P1F4	(+)-delta-cadinene synthase	sesq	sesq	Gossypium hirsutum	Plantae	(+)-δ-cadinene	[20]	(+)-δ-cadinene	20
A0A0G7ZNT4	alpha-Humulene synthase	sesq	sesq	Picea glauca	Plantae	(1E,4E,8E)-α-humulene	[35]	(1E,4E,8E)-α-humulene	35
A0A0H4U9R8	Terpene synthase 2	sesq	sesq	Laurus nobilis	Plantae	(+)-δ-cadinene	[20]	(+)-δ-cadinene	20
A0A0H5BB10	Copalyl diphosphate synthase	di-int	di	Streptomyces cyslabdanicus	Bacteria	5α,9α,10β-labda-8(20),13-dien-15-yl diphosphate(3−)	[16]	5α,9α,10β-labda-8(20),13-dien-15-yl diphosphate(3−)	16
A0A0H5BN57	(12E)-labda-8(17),12,14-triene synthase	di	di	Streptomyces cyslabdanicus	Bacteria	(12E)-labda-8(17),12,14-triene	[2]	(12E)-labda-8(17),12,14-triene	2
A0A0H5BN61	(12E)-labda-8(17),12,14-triene synthase	di	di	Streptomyces anulatus	Bacteria	(12E)-labda-8(17),12,14-triene	[2]	(12E)-labda-8(17),12,14-triene	2
A0A0M3Q1Q3	Gamma-terpinene synthase 1	mono	mono	Thymus vulgaris	Plantae	γ-terpinene	[22]	γ-terpinene	22
A0A0M4M0T9	(-)-kolavenyl diphosphate synthase TPS28	di-int	di	Tripterygium wilfordii	Plantae	(−)-kolavenyl diphosphate	[4]	(−)-kolavenyl diphosphate	4
A0A0M4MMY1	Diterpene synthase class I	di	di	Tripterygium wilfordii	Plantae	ent-kaurene; ent-isokaurene	[31, 3]	ent-isokaurene	3
A0A0M5L832	(-)-kolavenyl diphosphate synthase TPS14	di-int	di	Tripterygium wilfordii	Plantae	(−)-kolavenyl diphosphate	[4]	(−)-kolavenyl diphosphate	4
A0A0P0ZD79	Variediene synthase	di	di	Emericella variicolor	Fungi	variediene; variediene	[7, 7]	variediene	7
A0A0P0ZEM1	Stellatatriene synthase	sester	sester	Emericella variicolor	Fungi	stellata-2,6,19-triene	[1]	stellata-2,6,19-triene	1
A0A0S2IHL6	Beta-amyrin synthase 1	tri	tri	Kalopanax septemlobus	Plantae	β-amyrin	[41]	β-amyrin	41
A0A0U1XNG2	Germacrene A synthase 1	sesq	sesq	Barnadesia spinosa	Plantae	(−)-germacrene A	[24]	(−)-germacrene A	24
A0A0U1XRI2	Germacrene A synthase 2	sesq	sesq	Barnadesia spinosa	Plantae	(−)-germacrene A	[24]	(−)-germacrene A	24
A0A0U2D9C5	Ent-8-alpha-hydroxylabd-13-en-15-yl diphosphate synthase CPS4	di-int	di	Salvia miltiorrhiza	Plantae	copal-8-ol diphosphate(3−)	[8]	copal-8-ol diphosphate(3−)	8
A0A0U2U4F3	Beta-amyrin synthase 1	tri	tri	Barbarea vulgaris	Plantae	β-amyrin	[41]	β-amyrin	41
A0A0U3LQ20	Ent-copalyl diphosphate synthase, chloroplastic	di-int	di	Salvia miltiorrhiza	Plantae	5β,9α,10α-labda-8(20),13-dien-15-yl diphosphate(3−)	[21]	5β,9α,10α-labda-8(20),13-dien-15-yl diphosphate(3−)	21
A0A0U4CDK4	Ent-kaur-16-ene synthase	di	di	Salvia miltiorrhiza	Plantae	ent-kaurene	[31]	ent-kaurene	31
A0A0U4IMN4	Germacrene A synthase	sesq	sesq	Taraxacum officinale	Plantae	(−)-germacrene A	[24]	(−)-germacrene A	24
A0A0U4KG90	Germacrene A synthase	sesq	sesq	Taraxacum officinale	Plantae	(−)-germacrene A	[24]	(−)-germacrene A	24
A0A0U5G0B1	Ophiobolin F synthase	sester	sester	Aspergillus calidoustus	Fungi	ophiobolin F	[6]	ophiobolin F	6
A0A0U5GLI1	Spiroviolene	di	di	Aspergillus calidoustus	Fungi	(−)-spiroviolene	[2]	(−)-spiroviolene	2
A0A0U5GNT1	Drimenol cyclase drtB	sesq	sesq	Aspergillus calidoustus	Fungi	drimenol	[3]	drimenol	3
A0A100IAT3	Geranylfarnesol	sester; di	mixed	Aspergillus niger	Fungi	(2E,6E,10E,14E)-geranylfarnesol; geranyllinalool	[5, 7]	(2E,6E,10E,14E)-geranylfarnesol	5
A0A125S8N1	(Z)-gamma-bisabolene synthase K7	sesq	sesq	Helianthus annuus	Plantae	(Z)-γ-bisabolene	[9]	(Z)-γ-bisabolene	9
A0A125S8N2	(Z)-gamma-bisabolene synthase K11	sesq	sesq	Helianthus annuus	Plantae	(Z)-γ-bisabolene	[9]	(Z)-γ-bisabolene	9
A0A125SXN1	Pre-alpha-onocerin synthase LCC	tri	tri	Lycopodium clavatum	Plantae	pre-α-onocerin	[1]	pre-α-onocerin	1
A0A125SXN2	Alpha-onocerin synthase LCD	tri	tri	Lycopodium clavatum	Plantae	α-onocerin	[1]	α-onocerin	1
A0A125SXN3	Cycloartenol synthase LCA	tri	tri	Lycopodium clavatum	Plantae	cycloartenol	[22]	cycloartenol	22
A0A135LYJ9	Geranylfarnesol	sester	sester	Penicillium griseofulvum	Fungi	(2E,6E,10E,14E)-geranylfarnesol	[5]	(2E,6E,10E,14E)-geranylfarnesol	5
A0A140AZ63	Terpene synthase	sesq	sesq	Phyllotreta striolata	Insecta	(6R,7S)-himachala-9,11-diene; trans-α-himachalene; (6R,7S)-2,2,6-trimethyl-10-methylenebicyclo[5.4.0]undec-1(11)-ene; (Z)-α-bisabolene; β-bisabolene; (−)-γ-cadinene; (6E)-nerolidol; β-bisabolene; (E)-α-bisabolene	[1, 1, 1, 5, 16, 5, 16, 16, 6]	(6R,7S)-himachala-9,11-diene	1
A0A140AZ66	Terpene synthase	mono; sesq	mixed	Phyllotreta striolata	Insecta	β-myrcene; (Z)-β-ocimene; (E)-β-ocimene; linalool; β-bisabolene; (E)-α-bisabolene; (6Z)-nerolidol; (−)-β-elemene	[58, 15, 27, 27, 16, 6, 3, 26]	(6Z)-nerolidol	3
A0A140AZ69	Terpene synthase	sesq; mono; di	mixed	Phyllotreta striolata	Insecta	β-bisabolene; (E)-α-bisabolene; (6E)-nerolidol; β-myrcene; (Z)-β-ocimene; (E)-β-ocimene; linalool; geranyllinalool; β-bisabolene; (E)-α-bisabolene; (6Z)-nerolidol; (6E)-nerolidol; trans-β-farnesene	[16, 6, 16, 58, 15, 27, 27, 7, 16, 6, 3, 16, 24]	(6Z)-nerolidol	3
A0A140AZ72	Terpene synthase	sesq; mono; di	mixed	Phyllotreta striolata	Insecta	(6E)-nerolidol; trans-β-farnesene; linalool; geranyllinalool; β-bisabolene; (E)-α-bisabolene; (6Z)-nerolidol; (6E)-nerolidol	[16, 24, 27, 7, 16, 6, 3, 16]	(6Z)-nerolidol	3
A0A140KFG9	Hedycaryol synthase	sesq	sesq	Camellia brevistyla	Plantae	hedycaryol	[2]	hedycaryol	2
A0A142BX70	Germacrene D	sesq	sesq	Xanthium strumarium	Plantae	(−)-germacrene D; β-copaene	[24, 12]	β-copaene	12
A0A142BX71	Sesquiterpene synthase	sesq	sesq	Xanthium strumarium	Plantae	guaia-4,6-diene	[2]	guaia-4,6-diene	2
A0A142BX72	Putative monoterpene synthase	sesq	sesq	Xanthium strumarium	Plantae	(−)-germacrene A	[24]	(−)-germacrene A	24
A0A142BX74	Sesquiterpene synthase	sesq	sesq	Xanthium strumarium	Plantae	guaia-4,6-diene	[2]	guaia-4,6-diene	2
A0A142ZC57	Lycopaoctaene synthase	tetra; tri	mixed	Botryococcus braunii	Plantae	lycopaoctaene; squalene; (14E,18E)-lycopadiene	[1, 19, 1]	lycopaoctaene	1
A0A144YEA5	Squalene synthase LSS	tri	tri	Botryococcus braunii	Plantae	squalene	[19]	squalene	19
A0A151ZEA6	Terpene synthase	sesq	sesq	Tieghemostelium lacteum	Amoebozoa	(2S,3R,6S,9S)-(−)-protoillud-7-ene	[6]	(2S,3R,6S,9S)-(−)-protoillud-7-ene	6
A0A162QA28	Geranylgeranyl pyrophosphate synthase	sester	sester	Colletotrichum incanum	Fungi	sesterorbiculene	[3]	sesterorbiculene	3
A0A167CIH5	Beta-geranylfarnesene	sester	sester	Colletotrichum incanum	Fungi	β-geranylfarnesene; betaestacin I	[3, 6]	β-geranylfarnesene	3
A0A167V661	Valerianol synthase TPS8	sesq	sesq	Camellia sinensis	Plantae	valerianol	[8]	valerianol	8
A0A169T193	Astellifadiene synthase	sester	sester	Emericella variicolor	Fungi	astellifadiene	[1]	astellifadiene	1
A0A177DNJ5	Geranylgeranyl diphosphate synthase	sester	sester	Alternaria alternata	Fungi	sesterfisherol	[2]	sesterfisherol	2
A0A178U9Y5	Bifunctional dolabella-3,7-dien-18-ol synthase/dolathalia-3,7,11-triene synthase TPS20	di	di	Arabidopsis thaliana	Plantae	(3E,7E)-dolabella-3,7-dien-18-ol; (3E,7E)-dolathalia-3,7,11-triene	[2, 1]	(3E,7E)-dolathalia-3,7,11-triene	1
A0A1B4XBG5	Cycloaraneosene synthase sdnA	di	di	Sordaria araneosa	Fungi	cycloaraneosene	[1]	cycloaraneosene	1
A0A1C7AAN2	(-)-kolavenyl diphosphate synthase TPS10	di-int	di	Tripterygium wilfordii	Plantae	(−)-kolavenyl diphosphate	[4]	(−)-kolavenyl diphosphate	4
A0A1C9J6A7	(R)-limonene synthase 1	mono	mono	Citrus sinensis	Plantae	(4R)-limonene	[11]	(4R)-limonene	11
A0A1D6EFT8	Eudesmanediol synthase	sesq	sesq	Zea mays	Plantae	7-epi-ent-eudesmane-5,11-diol	[2]	7-epi-ent-eudesmane-5,11-diol	2
A0A1D6IY18	Terpene synthase6	sesq	sesq	Zea mays	Plantae	(S)-β-macrocarpene; (S)-β-bisabolene	[3, 16]	(S)-β-macrocarpene	3
A0A1D6K6U5	Ent-copalyl diphosphate synthase AN2	di-int	di	Zea mays	Plantae	5β,9α,10α-labda-8(20),13-dien-15-yl diphosphate(3−)	[21]	5β,9α,10α-labda-8(20),13-dien-15-yl diphosphate(3−)	21
A0A1D6KUI6	Dolabradiene synthase KSL4	di	di	Zea mays	Plantae	dolabradiene	[1]	dolabradiene	1
A0A1D6LTV0	Alpha-terpineol synthase	mono	mono	Zea mays 	Plantae	(S)-(−)-α-terpineol; 4-terpineol; (4S)-limonene	[14, 4, 18]	4-terpineol	4
A0A1F5LDE4	Penichrysol	di	di	Penicillium arizonense	Fungi	penichrysol	[4]	penichrysol	4
A0A1G9S4L4	Terpene synthase	di	di	Allokutzneria albata	Bacteria	(S)-(+)-cembrene A	[1]	(S)-(+)-cembrene A	1
A0A1H0BVV7	Uncharacterized protein	di	di	Allokutzneria albata	Bacteria	spiroalbatene; thunbergol	[1, 1]	spiroalbatene	1
A0A1I9LTE4	Terpene cyclase/mutase family member	tri	tri	Arabidopsis thaliana	Plantae	lanosterol	[16]	lanosterol	16
A0A1J0CQ86	Terpene synthase 3	sesq	sesq	Pseudotaxiphyllum elegans	Plantae	γ-curcumene	[8]	γ-curcumene	8
A0A1J0CQ90	Terpene synthase 2	sesq	sesq	Scapania nemorea	Plantae	bicycloelemene; bicyclogermacrene	[3, 8]	bicycloelemene	3
A0A1J0CQ92	Terpene synthase 3	sesq	sesq	Anomodon rostratus	Plantae	(S)-β-bisabolene; γ-curcumene	[16, 8]	γ-curcumene	8
A0A1J0CQ97	Terpene synthase 7	sesq	sesq	Anthoceros punctatus	Plantae	β-acoradiene	[2]	β-acoradiene	2
A0A1J0CQA2	Terpene synthase 1	sesq	sesq	Woodsia scopulina	Plantae	Δ6-protoilludene	[20]	Δ6-protoilludene	20
A0A1J0CQA6	Terpene synthase	sesq	sesq	Pityrogramma trifoliata	Plantae	Δ6-protoilludene	[20]	Δ6-protoilludene	20
A0A1L1WGB8	Sesquiterpene synthase	sesq	sesq	Liquidambar formosana	Plantae	(+)-δ-cadinene; α-muurolene	[20, 18]	α-muurolene	18
A0A1L1WGC4	Alpha, beta-caryophyllene synthase	sesq	sesq	Liquidambar formosana	Plantae	(−)-β-caryophyllene; (1E,4E,8E)-α-humulene	[64, 35]	(1E,4E,8E)-α-humulene	35
A0A1L1WGD9	Beta-elemol synthase	sesq	sesq	Liquidambar formosana	Plantae	β-elemol; guaiol	[1, 2]	β-elemol	1
A0A1L1WGF5	TPS02	sesq	sesq	Liquidambar formosana	Plantae	α-selinene	[10]	α-selinene	10
A0A1L2D3T3	10-epi-juneol synthase	sesq	sesq	Inula hupehensis	Plantae	10-epi-juneol; τ-cadinol	[1, 4]	10-epi-juneol	1
A0A1L5YKS7	Alpha-gurjunene synthase	sesq	sesq	Marchantia polymorpha	Plantae	(−)-α-gurjunene; 5-hydroxy-α-gurjunene	[2, 1]	5-hydroxy-α-gurjunene	1
A0A1L6Z3A0	Pseudolaratriene synthase	di	di	Pseudolarix amabilis	Plantae	pseudolaratriene	[1]	pseudolaratriene	1
A0A1L6Z3A5	Alpha-bisabolene synthase	sesq	sesq	Pseudolarix amabilis	Plantae	(E,R)-α-bisabolene	[4]	(E,R)-α-bisabolene	4
A0A1L7NYF8	(+)-alpha-bisabolol synthase	sesq	sesq	Artemisia maritima	Plantae	(E,R)-α-bisabolene; (+)-α-bisabolol	[4, 2]	(+)-α-bisabolol	2
A0A1L7NYG2	Koidzumiol synthase	sesq	sesq	Artemisia absinthium	Plantae	koidzumiol	[1]	koidzumiol	1
A0A1L7NYG3	(+)-alpha-bisabolol synthase	sesq	sesq	Artemisia kurramensis	Plantae	(+)-α-bisabolol	[2]	(+)-α-bisabolol	2
A0A1L7U8F2	(1R,4R,5S)-(-)-guaia-6,10(14)-diene synthase	sesq	sesq	Fusarium mangiferae	Fungi	(1R,4R,5S)-(−)-guaia-6,10(14)-diene	[2]	(1R,4R,5S)-(−)-guaia-6,10(14)-diene	2
A0A1L7VZE7	(1R,4R,5S)-(-)-guaia-6,10(14)-diene synthase	sesq	sesq	Fusarium proliferatum	Fungi	(1R,4R,5S)-(−)-guaia-6,10(14)-diene	[2]	(1R,4R,5S)-(−)-guaia-6,10(14)-diene	2
A0A1L9UKS1	Variediene synthase	di	di	Aspergillus brasiliensis	Fungi	variediene	[7]	variediene	7
A0A1L9WUI2	Terpene cyclase aneC	sesq	sesq	Aspergillus aculeatus	Fungi	dauca-4,7-diene	[1]	dauca-4,7-diene	1
A0A1M6RNB3	Terpene synthase	di	di	Chryseobacterium polytrichastri	Bacteria	chrysodiene	[1]	chrysodiene	1
A0A1N7T9S7	(+)-delta-cadinene synthase	sesq	sesq	Gossypium hirsutum	Plantae	(+)-δ-cadinene	[20]	(+)-δ-cadinene	20
A0A1P8AVI0	Terpene cyclase/mutase family member	tri	tri	Arabidopsis thaliana	Plantae	β-amyrin	[41]	β-amyrin	41
A0A1P8AW29	Terpene cyclase/mutase family member	tri	tri	Arabidopsis thaliana	Plantae	tirucalla-7,24-dien-3β-ol	[4]	tirucalla-7,24-dien-3β-ol	4
A0A1P8B2H6	Terpene cyclase/mutase family member	tri	tri	Arabidopsis thaliana	Plantae	cycloartenol	[22]	cycloartenol	22
A0A1S3ZET1	(-)-camphene/tricyclene synthase	mono	mono	Nicotiana tabacum	Plantae	(−)-camphene	[5]	(−)-camphene	5
A0A1S4B920	copal-8-ol diphosphate hydratase	di-int	di	Nicotiana tabacum	Plantae	copal-8-ol diphosphate(3−)	[8]	copal-8-ol diphosphate(3−)	8
A0A1S4C9W7	cis-abienol synthase	di	di	Nicotiana tabacum	Plantae	cis-abienol	[4]	cis-abienol	4
A0A1S4CZT8	cis-abienol synthase	di	di	Nicotiana tabacum	Plantae	cis-abienol	[4]	cis-abienol	4
A0A1S5RW73	(-)-kolavenyl diphosphate synthase	di-int	di	Salvia divinorum	Plantae	(−)-kolavenyl diphosphate	[4]	(−)-kolavenyl diphosphate	4
A0A1U8I4V5	(+)-delta-cadinene synthase	sesq	sesq	Gossypium hirsutum	Plantae	(+)-δ-cadinene	[20]	(+)-δ-cadinene	20
A0A1U8QHE3	Pimaradiene synthase pbcA	di	di	Emericella nidulans	Fungi	ent-pimara-8(14),15-diene	[2]	ent-pimara-8(14),15-diene	2
A0A1V0D8Y5	3-carene synthase	mono	mono	Lavandula x intermedia	Plantae	(+)-car-3-ene	[11]	(+)-car-3-ene	11
A0A1V0E492	Caryophyllene synthase	sesq	sesq	Piper nigrum	Plantae	(−)-β-caryophyllene	[64]	(−)-β-caryophyllene	64
A0A1V0E4A6	Cadinene synthase	sesq	sesq	Piper nigrum	Plantae	δ-cadinol	[4]	δ-cadinol	4
A0A1V0QSF2	Terpene synthase	sesq	sesq	Cannabis sativa	Plantae	(−)-β-caryophyllene	[64]	(−)-β-caryophyllene	64
A0A1V0QSF3	Terpene synthase	sesq	sesq	Cannabis sativa	Plantae	(+)-valencene; γ-eudesmol	[7, 1]	γ-eudesmol	1
A0A1V0QSF6	Terpene synthase	sesq	sesq	Cannabis sativa	Plantae	δ-selinene	[1]	δ-selinene	1
A0A1V0QSG6	Terpene synthase	sesq	sesq	Cannabis sativa	Plantae	Allo-Aromadendrene	[3]	Allo-Aromadendrene	3
A0A1V1FVQ6	Ophiobolin F synthase oblA	sester	sester	Emericella variicolor 	Fungi	ophiobolin F	[6]	ophiobolin F	6
A0A1W6GW06	(-)-5-epieremophilene synthase STPS2	sesq	sesq	Salvia miltiorrhiza 	Plantae	(−)-5-epi-eremophilene	[3]	(−)-5-epi-eremophilene	3
A0A1W6GW18	(-)-5-epieremophilene synthase STPS3	sesq	sesq	Salvia miltiorrhiza 	Plantae	(−)-5-epi-eremophilene	[3]	(−)-5-epi-eremophilene	3
A0A1W6GW32	(-)-5-epieremophilene synthase STPS1	sesq	sesq	Salvia miltiorrhiza	Plantae	(−)-5-epi-eremophilene	[3]	(−)-5-epi-eremophilene	3
A0A1W6QDI7	Miltiradiene synthase KSL1, chloroplastic	di	di	Isodon rubescens	Plantae	miltiradiene	[9]	miltiradiene	9
A0A1W6QDJ1	Ent-copalyl diphosphate synthase 4	di-int	di	Isodon rubescens	Plantae	5β,9α,10α-labda-8(20),13-dien-15-yl diphosphate(3−)	[21]	5β,9α,10α-labda-8(20),13-dien-15-yl diphosphate(3−)	21
A0A1X9IRQ7	Copalyl diphosphate synthase 1, chloroplastic	di-int	di	Isodon rubescens	Plantae	5α,9α,10β-labda-8(20),13-dien-15-yl diphosphate(3−)	[16]	5α,9α,10β-labda-8(20),13-dien-15-yl diphosphate(3−)	16
A0A1X9ISH5	Nezukol synthase KSL3	di	di	Isodon rubescens	Plantae	miltiradiene; nezukol; oridonin; eriocalyxin B	[9, 1, 1, 1]	nezukol	1
A0A1Y1C7Q5	Quiannulatene synthase	sester	sester	Emericella variicolor	Fungi	2-trans,6-trans,10-trans-geranylgeranyl diphosphate(3−); quiannulatene	[1, 2]	2-trans,6-trans,10-trans-geranylgeranyl diphosphate(3−)	1
A0A1Z3GBK8	Ent-atiserene synthase KSL4, chloroplastic	di	di	Isodon rubescens	Plantae	ent-atiserene; ent-kaurene	[1, 31]	ent-atiserene	1
A0A1Z3GC64	Ent-kaurene synthase 5, chloroplastic	di	di	Isodon rubescens	Plantae	ent-kaurene	[31]	ent-kaurene	31
A0A1Z3GCD1	Isopimaradiene synthase	di	di	Isodon rubescens	Plantae	isopimara-8(14),15-diene	[2]	isopimara-8(14),15-diene	2
A0A284RNH4	Delta(6)-protoilludene synthase	sesq	sesq	Armillaria ostoyae	Fungi	Δ6-protoilludene	[20]	Δ6-protoilludene	20
A0A286R621	Prespatane sesquiterpene synthase	sesq	sesq	Laurencia pacifica	Red algae	prespatane	[1]	prespatane	1
A0A290U6M0	SQS5a	sesq	sesq	Citrus sinensis	Plantae	Allo-Aromadendrene	[3]	Allo-Aromadendrene	3
A0A290U6M6	SQS2	sesq	sesq	Citrus sinensis	Plantae	β-cadinene	[5]	β-cadinene	5
A0A290U6N1	SQS1	sesq	sesq	Citrus sinensis	Plantae	β-cubebene; α-copaene	[6, 13]	β-cubebene	6
A0A290U6P6	SQS4	sesq	sesq	Citrus sinensis	Plantae	(−)-germacrene A	[24]	(−)-germacrene A	24
A0A291LSD6	Beta-selinene synthase	sesq	sesq	Zea mays 	Plantae	(+)-β-selinene	[8]	(+)-β-selinene	8
A0A291SJC7	Isoafricanol synthase	sesq	sesq	"Streptomyces malaysiensis
"	Bacteria	(+)-isoafricanol	[3]	(+)-isoafricanol	3
A0A2A2D8W5	Terpene synthase	sesq; di	mixed	Streptomyces albireticuli	Bacteria	(−)-β-elemene; Shyobunol; elemol; (6E)-nerolidol; (+)-4-epi-cubebol; albireticulene	[26, 1, 5, 16, 3, 1]	Shyobunol	1
A0A2K9RFY0	Ent-kaurene synthase TSP4	di	di	Vitex agnus-castus	Plantae	ent-kaurene	[31]	ent-kaurene	31
A0A2K9RFZ2	Diterpene synthase 2	di	di	Vitex agnus-castus	Plantae	(13S)-vitexifolin A; viteagnusin D; 9,13(R)-epoxylabd-14-ene	[2, 1, 2]	viteagnusin D	1
A0A2K9RFZ7	Peregrinol diphosphate synthase TPS1, chloroplastic	di-int	di	Vitex agnus-castus	Plantae	peregrinol diphosphate(3−)	[2]	peregrinol diphosphate(3−)	2
A0A2K9RFZ8	Syn-copalyl diphosphate synthase TPS3	di-int	di	Vitex agnus-castus	Plantae	5α,9β,10α-labda-8(20),13-dien-15-yl diphosphate(3−)	[4]	5α,9β,10α-labda-8(20),13-dien-15-yl diphosphate(3−)	4
A0A2K9RFZ9	Class I diterpene synthase TPS6	di	di	Vitex agnus-castus	Plantae	labd-13(16),14-diene-9-ol; syn-isopimara-7,15-diene	[1, 1]	labd-13(16),14-diene-9-ol	1
