DATASET_COLORSTRIP
SEPARATOR COMMA
DATASET_LABEL,Novelty score
tsa_006338,#20a386
tsa_006505,#287d8e
tsa_006532,#1f968b
tsa_006785,#2d718e
tsa_006831,#2d718e
tsa_006836,#2d718e
tsa_006839,#33638d
tsa_006843,#39558c
tsa_006898,#287d8e
tsa_006903,#33638d
tsa_006938,#2d718e
tsa_007091,#238a8d
tsa_007099,#33638d
tsa_007100,#2d718e
tsa_007101,#238a8d
tsa_007102,#2d718e
tsa_007103,#238a8d
tsa_007137,#2d718e
tsa_007333,#33638d
tsa_007430,#287d8e
tsa_007671,#404688
tsa_007673,#39558c
tsa_007678,#29af7f
tsa_007739,#238a8d
tsa_007796,#287d8e
tsa_007847,#29af7f
tsa_007954,#238a8d
tsa_007991,#1f968b
tsa_007994,#238a8d
tsa_007995,#287d8e
tsa_008006,#2d718e
tsa_008017,#2d718e
tsa_008096,#20a386
tsa_008149,#3dbc74
tsa_008269,#238a8d
tsa_008293,#287d8e
tsa_008369,#2d718e
tsa_008410,#238a8d
tsa_008558,#33638d
tsa_008590,#39558c
tsa_008591,#33638d
tsa_008594,#1f968b
tsa_008606,#33638d
tsa_008650,#287d8e
tsa_008656,#238a8d
tsa_008736,#1f968b
tsa_008795,#20a386
tsa_008863,#20a386
tsa_008865,#20a386
tsa_008882,#33638d
tsa_008969,#2d718e
tsa_009074,#2d718e
tsa_009093,#39558c
tsa_009102,#2d718e
tsa_009103,#287d8e
tsa_009105,#2d718e
tsa_009106,#33638d
tsa_009107,#2d718e
tsa_009111,#33638d
tsa_009146,#2d718e
tsa_009147,#2d718e
tsa_009148,#2d718e
tsa_009153,#2d718e
tsa_009195,#287d8e
tsa_009229,#2d718e
tsa_009241,#287d8e
tsa_009264,#238a8d
tsa_009324,#2d718e
tsa_009328,#2d718e
tsa_009466,#1f968b
tsa_009498,#238a8d
tsa_009593,#238a8d
tsa_009630,#1f968b
tsa_009664,#238a8d
tsa_009721,#453781
tsa_009749,#238a8d
tsa_009763,#404688
tsa_009765,#404688
tsa_009767,#404688
tsa_009783,#453781
tsa_010054,#33638d
tsa_010057,#39558c
tsa_010070,#39558c
tsa_010071,#404688
tsa_010072,#33638d
tsa_010073,#2d718e
tsa_010074,#39558c
tsa_010079,#39558c
tsa_010080,#33638d
tsa_010081,#39558c
tsa_010084,#404688
tsa_010088,#2d718e
tsa_010113,#39558c
tsa_010114,#33638d
tsa_010120,#2d718e
tsa_010132,#2d718e
tsa_010136,#404688
tsa_010140,#404688
tsa_010142,#20a386
tsa_010144,#404688
tsa_010150,#39558c
tsa_010154,#39558c
tsa_010155,#287d8e
tsa_010156,#33638d
tsa_010158,#33638d
tsa_010159,#33638d
tsa_010161,#33638d
tsa_010162,#33638d
tsa_010165,#33638d
tsa_010215,#2d718e
tsa_010219,#33638d
tsa_010220,#33638d
tsa_010221,#33638d
tsa_010223,#2d718e
tsa_010225,#39558c
tsa_010238,#2d718e
tsa_010240,#2d718e
tsa_010241,#404688
tsa_010242,#33638d
tsa_010243,#287d8e
tsa_010244,#33638d
tsa_010247,#287d8e
tsa_010255,#33638d
tsa_010258,#2d718e
tsa_010259,#33638d
tsa_010260,#33638d
tsa_010261,#2d718e
tsa_010262,#287d8e
tsa_010263,#404688
tsa_010324,#1f968b
tsa_010518,#453781
tsa_010539,#2d718e
tsa_010596,#2d718e
tsa_010649,#1f968b
tsa_010678,#20a386
tsa_010716,#1f968b
tsa_010803,#2d718e
tsa_010884,#2d718e
tsa_010890,#287d8e
tsa_011114,#33638d
tsa_011157,#287d8e
tsa_011167,#287d8e
tsa_011263,#238a8d
tsa_011301,#39558c
tsa_011327,#33638d
tsa_011333,#287d8e
tsa_011334,#238a8d
tsa_011344,#33638d
tsa_011377,#2d718e
tsa_011398,#33638d
tsa_011403,#287d8e
tsa_011416,#33638d
tsa_011528,#20a386
tsa_011530,#56c667
tsa_011531,#1f968b
tsa_011533,#238a8d
tsa_011647,#287d8e
tsa_011658,#1f968b
tsa_011662,#1f968b
tsa_011665,#287d8e
tsa_011666,#287d8e
tsa_011706,#29af7f
tsa_011983,#2d718e
tsa_012071,#39558c
tsa_012150,#75d054
tsa_012157,#1f968b
tsa_012256,#238a8d
tsa_012267,#33638d
tsa_012711,#2d718e
tsa_012955,#238a8d
tsa_013022,#20a386
tsa_013165,#238a8d
tsa_013184,#2d718e
tsa_013204,#287d8e
tsa_013205,#2d718e
tsa_013208,#287d8e
tsa_013284,#2d718e
tsa_013285,#287d8e
tsa_013286,#39558c
tsa_013296,#33638d
tsa_013325,#33638d
tsa_013348,#2d718e
tsa_013362,#481467
tsa_013363,#39558c
tsa_013364,#404688
tsa_013365,#33638d
tsa_013367,#2d718e
tsa_013368,#404688
tsa_013369,#33638d
tsa_013389,#1f968b
tsa_013405,#2d718e
tsa_013556,#33638d
tsa_013577,#33638d
tsa_013608,#1f968b
tsa_013610,#2d718e
tsa_013615,#2d718e
tsa_013617,#20a386
tsa_013619,#238a8d
tsa_013620,#33638d
tsa_013625,#2d718e
tsa_013631,#287d8e
tsa_013636,#33638d
tsa_013656,#287d8e
tsa_013665,#33638d
tsa_013705,#238a8d
tsa_013737,#56c667
tsa_013793,#2d718e
tsa_014023,#287d8e
tsa_014038,#20a386
tsa_014046,#33638d
tsa_014059,#238a8d
tsa_014253,#33638d
tsa_014255,#2d718e
tsa_014257,#2d718e
tsa_014260,#287d8e
tsa_014262,#287d8e
tsa_014264,#287d8e
tsa_014358,#238a8d
tsa_014386,#238a8d
tsa_014393,#287d8e
tsa_014469,#287d8e
tsa_014485,#238a8d
tsa_014578,#287d8e
tsa_014585,#1f968b
tsa_014643,#287d8e
tsa_014687,#287d8e
tsa_014692,#2d718e
tsa_014748,#2d718e
tsa_014824,#404688
tsa_015127,#33638d
tsa_015130,#453781
tsa_015185,#238a8d
tsa_015274,#2d718e
tsa_015568,#287d8e
tsa_015883,#29af7f
tsa_015888,#3dbc74
tsa_015891,#1f968b
tsa_015928,#287d8e
tsa_015939,#2d718e
tsa_016165,#2d718e
tsa_016176,#287d8e
tsa_016233,#39558c
tsa_016234,#404688
tsa_016238,#39558c
tsa_016241,#404688
tsa_016242,#33638d
tsa_016243,#404688
tsa_016332,#238a8d
tsa_016508,#287d8e
tsa_016839,#56c667
tsa_017157,#20a386
tsa_017235,#238a8d
tsa_017271,#287d8e
tsa_017335,#2d718e
tsa_017444,#287d8e
tsa_017480,#1f968b
tsa_017482,#20a386
tsa_017488,#1f968b
tsa_017490,#1f968b
tsa_017558,#287d8e
tsa_017559,#404688
tsa_017660,#238a8d
tsa_017743,#20a386
tsa_018050,#1f968b
tsa_018063,#1f968b
tsa_018259,#287d8e
tsa_018280,#238a8d
tsa_018303,#287d8e
tsa_018309,#287d8e
tsa_018544,#287d8e
tsa_018545,#2d718e
tsa_018547,#2d718e
tsa_018548,#2d718e
tsa_018552,#33638d
tsa_018590,#2d718e
tsa_018602,#2d718e
tsa_018606,#287d8e
tsa_018636,#453781
tsa_018640,#2d718e
tsa_018665,#39558c
tsa_018742,#287d8e
tsa_018745,#20a386
tsa_018768,#20a386
tsa_018871,#2d718e
tsa_018955,#238a8d
tsa_018968,#287d8e
tsa_019156,#287d8e
tsa_019186,#33638d
tsa_019266,#238a8d
tsa_019310,#287d8e
tsa_019385,#2d718e
tsa_019405,#1f968b
tsa_019421,#287d8e
tsa_019434,#404688
tsa_019452,#287d8e
tsa_019585,#482576
tsa_019587,#404688
tsa_019589,#33638d
tsa_019591,#33638d
tsa_019647,#287d8e
tsa_019653,#33638d
tsa_019654,#2d718e
tsa_019679,#238a8d
tsa_019685,#238a8d
tsa_019722,#287d8e
tsa_019724,#238a8d
tsa_019909,#287d8e
tsa_020083,#2d718e
tsa_020101,#29af7f
tsa_020110,#29af7f
tsa_020125,#1f968b
tsa_020130,#33638d
tsa_020187,#482576
tsa_020190,#2d718e
tsa_020195,#1f968b
tsa_020252,#2d718e
tsa_020287,#2d718e
tsa_020323,#238a8d
tsa_020337,#33638d
tsa_020340,#33638d
tsa_020379,#2d718e
tsa_020382,#33638d
tsa_020483,#2d718e
tsa_020496,#2d718e
tsa_020519,#39558c
tsa_020526,#20a386
tsa_020557,#1f968b
tsa_020592,#453781
tsa_020595,#2d718e
tsa_020695,#2d718e
tsa_020710,#482576
tsa_020715,#453781
tsa_020720,#453781
tsa_020735,#39558c
tsa_020744,#287d8e
tsa_020746,#2d718e
tsa_020804,#2d718e
tsa_020810,#2d718e
tsa_020816,#287d8e
tsa_020825,#1f968b
tsa_020835,#238a8d
tsa_020865,#2d718e
tsa_020918,#33638d
tsa_020937,#2d718e
tsa_020945,#2d718e
tsa_020997,#287d8e
tsa_021115,#20a386
tsa_021120,#287d8e
tsa_021121,#1f968b
tsa_021135,#56c667
tsa_021139,#238a8d
tsa_021141,#287d8e
tsa_021308,#2d718e
tsa_021327,#3dbc74
tsa_021330,#1f968b
tsa_021378,#2d718e
tsa_021441,#20a386
tsa_021458,#238a8d
tsa_021468,#453781
tsa_021660,#453781
tsa_021665,#33638d
tsa_021763,#238a8d
tsa_021773,#33638d
tsa_021902,#287d8e
tsa_022021,#238a8d
tsa_022225,#287d8e
tsa_022304,#1f968b
tsa_022417,#404688
tsa_022635,#238a8d
tsa_022673,#39558c
tsa_022698,#39558c
tsa_022701,#404688
tsa_022711,#33638d
tsa_022763,#2d718e
tsa_022807,#238a8d
tsa_022899,#33638d
tsa_022902,#404688
tsa_022929,#39558c
tsa_023022,#2d718e
tsa_023074,#238a8d
tsa_023085,#238a8d
tsa_023260,#39558c
tsa_023336,#1f968b
tsa_023340,#238a8d
tsa_023389,#287d8e
tsa_023395,#2d718e
tsa_023452,#404688
tsa_023623,#2d718e
tsa_023716,#20a386
tsa_023959,#404688
tsa_024089,#1f968b
tsa_024326,#1f968b
tsa_024335,#238a8d
tsa_024401,#404688
tsa_024447,#2d718e
tsa_024645,#39558c
tsa_024753,#287d8e
tsa_024825,#2d718e
tsa_024863,#33638d
tsa_024933,#33638d
tsa_024964,#287d8e
tsa_024974,#2d718e
tsa_024990,#2d718e
tsa_024992,#287d8e
tsa_025006,#2d718e
tsa_025038,#2d718e
tsa_025070,#33638d
tsa_025563,#1f968b
tsa_025636,#238a8d
tsa_025641,#287d8e
tsa_025718,#287d8e
tsa_025727,#1f968b
tsa_025737,#287d8e
tsa_025738,#2d718e
tsa_025740,#238a8d
tsa_025743,#20a386
tsa_025752,#33638d
tsa_025756,#2d718e
tsa_025757,#287d8e
tsa_025759,#1f968b
tsa_025763,#2d718e
tsa_025766,#238a8d
tsa_025783,#39558c
tsa_025790,#33638d
tsa_025794,#33638d
tsa_025798,#33638d
tsa_025827,#287d8e
tsa_026008,#238a8d
tsa_026181,#39558c
tsa_026298,#33638d
tsa_026382,#287d8e
tsa_026384,#1f968b
tsa_026385,#33638d
tsa_026387,#39558c
tsa_026389,#39558c
tsa_026390,#39558c
tsa_026398,#2d718e
tsa_026399,#404688
tsa_026401,#238a8d
tsa_026402,#2d718e
tsa_026403,#287d8e
tsa_026416,#39558c
tsa_026427,#404688
tsa_026449,#2d718e
tsa_026602,#453781
tsa_026640,#33638d
tsa_026679,#287d8e
tsa_026699,#2d718e
tsa_026761,#287d8e
tsa_026765,#2d718e
tsa_026777,#39558c
tsa_026790,#33638d
tsa_026850,#39558c
tsa_026870,#287d8e
tsa_026912,#238a8d
tsa_026917,#20a386
tsa_026985,#1f968b
tsa_027026,#287d8e
tsa_027195,#287d8e
tsa_027207,#1f968b
tsa_027210,#238a8d
tsa_027219,#238a8d
tsa_027221,#29af7f
tsa_027228,#20a386
tsa_027229,#287d8e
tsa_027232,#1f968b
tsa_027234,#238a8d
tsa_027237,#238a8d
tsa_027244,#1f968b
tsa_027249,#3dbc74
tsa_027255,#238a8d
tsa_027257,#20a386
tsa_027258,#238a8d
tsa_027262,#29af7f
tsa_027263,#20a386
tsa_027264,#1f968b
tsa_027279,#1f968b
tsa_027415,#2d718e
tsa_027417,#29af7f
tsa_027418,#2d718e
tsa_027425,#2d718e
tsa_027428,#2d718e
tsa_027432,#287d8e
tsa_027445,#2d718e
tsa_027477,#2d718e
tsa_027497,#2d718e
tsa_027516,#29af7f
tsa_027518,#1f968b
tsa_027527,#20a386
tsa_027536,#238a8d
tsa_027537,#20a386
tsa_027538,#29af7f
tsa_027545,#29af7f
tsa_027547,#1f968b
tsa_027548,#3dbc74
tsa_027553,#1f968b
tsa_027655,#238a8d
tsa_027665,#1f968b
tsa_027667,#20a386
tsa_027668,#1f968b
tsa_027670,#20a386
tsa_027673,#20a386
tsa_027675,#20a386
tsa_027684,#238a8d
tsa_027686,#287d8e
tsa_027696,#2d718e
tsa_027747,#1f968b
tsa_027748,#1f968b
tsa_027749,#238a8d
tsa_027750,#1f968b
tsa_027751,#1f968b
tsa_027755,#1f968b
tsa_027757,#20a386
tsa_027762,#29af7f
tsa_027767,#3dbc74
tsa_027777,#29af7f
tsa_027793,#238a8d
tsa_027811,#1f968b
tsa_027813,#75d054
tsa_027817,#1f968b
tsa_027819,#20a386
tsa_027820,#287d8e
tsa_027823,#20a386
tsa_027824,#20a386
tsa_027830,#20a386
tsa_027833,#1f968b
tsa_027835,#1f968b
tsa_027838,#20a386
tsa_027841,#29af7f
tsa_027845,#1f968b
tsa_027846,#1f968b
tsa_027857,#1f968b
tsa_027858,#29af7f
tsa_027862,#1f968b
tsa_027864,#20a386
tsa_027865,#20a386
tsa_027867,#3dbc74
tsa_027869,#20a386
tsa_027870,#1f968b
tsa_027873,#95d840
tsa_027917,#33638d
tsa_027921,#287d8e
tsa_027931,#2d718e
tsa_028009,#33638d
tsa_028077,#287d8e
tsa_028090,#482576
tsa_028421,#29af7f
tsa_028463,#1f968b
tsa_028522,#20a386
tsa_028638,#33638d
tsa_028639,#404688
tsa_028655,#2d718e
tsa_028662,#33638d
tsa_028665,#1f968b
tsa_028667,#39558c
tsa_028675,#238a8d
tsa_028760,#20a386
tsa_028859,#1f968b
tsa_028864,#2d718e
tsa_028879,#33638d
tsa_028919,#2d718e
tsa_028955,#33638d
tsa_028965,#238a8d
tsa_028994,#39558c
tsa_029184,#39558c
tsa_029270,#20a386
tsa_029327,#39558c
tsa_029557,#29af7f
tsa_029562,#238a8d
tsa_029615,#287d8e
tsa_029691,#33638d
tsa_029763,#29af7f
tsa_029816,#29af7f
tsa_029900,#39558c
tsa_030226,#2d718e
tsa_030386,#287d8e
tsa_030388,#238a8d
tsa_030390,#2d718e
tsa_030411,#238a8d
tsa_030430,#2d718e
tsa_030509,#238a8d
tsa_030514,#39558c
tsa_030518,#33638d
tsa_030605,#2d718e
tsa_030623,#33638d
tsa_030661,#39558c
tsa_030756,#287d8e
tsa_030882,#39558c
tsa_030940,#238a8d
tsa_030954,#2d718e
tsa_030974,#2d718e
tsa_030980,#287d8e
tsa_030985,#33638d
tsa_030996,#39558c
tsa_031006,#33638d
tsa_031011,#287d8e
tsa_031016,#2d718e
tsa_031045,#2d718e
tsa_031054,#1f968b
tsa_031055,#1f968b
tsa_031059,#1f968b
tsa_031064,#1f968b
tsa_031073,#1f968b
tsa_031080,#287d8e
tsa_031094,#1f968b
tsa_031128,#33638d
tsa_031198,#287d8e
tsa_031341,#33638d
tsa_031404,#287d8e
tsa_031443,#482576
tsa_031463,#287d8e
tsa_031475,#20a386
tsa_031491,#238a8d
tsa_031568,#238a8d
tsa_031578,#2d718e
tsa_031579,#238a8d
tsa_031661,#287d8e
tsa_031856,#33638d
tsa_031955,#20a386
tsa_031978,#238a8d
tsa_031983,#238a8d
tsa_031988,#1f968b
tsa_031990,#238a8d
tsa_031992,#1f968b
tsa_032015,#33638d
tsa_032020,#33638d
tsa_032031,#287d8e
tsa_032150,#33638d
tsa_032203,#20a386
tsa_032244,#20a386
tsa_032252,#1f968b
tsa_032272,#287d8e
tsa_032347,#39558c
tsa_032348,#39558c
tsa_032496,#482576
tsa_032501,#1f968b
tsa_032587,#238a8d
tsa_032640,#2d718e
tsa_032726,#453781
tsa_032799,#1f968b
tsa_032835,#1f968b
tsa_032864,#39558c
tsa_032867,#481467
tsa_032871,#33638d
tsa_032875,#404688
tsa_033047,#238a8d
tsa_033094,#287d8e
tsa_033096,#33638d
tsa_033111,#33638d
tsa_033139,#2d718e
tsa_033257,#287d8e
tsa_033309,#2d718e
tsa_033318,#287d8e
tsa_033326,#2d718e
tsa_033341,#33638d
tsa_033351,#287d8e
tsa_033370,#2d718e
tsa_033409,#404688
tsa_033414,#453781
tsa_033418,#404688
tsa_033423,#482576
tsa_033444,#287d8e
tsa_033484,#2d718e
tsa_033529,#33638d
tsa_033530,#238a8d
tsa_033541,#287d8e
tsa_033567,#287d8e
tsa_033576,#238a8d
tsa_033619,#238a8d
tsa_033633,#2d718e
tsa_033651,#453781
tsa_033749,#39558c
tsa_033780,#238a8d
tsa_033781,#20a386
tsa_033783,#1f968b
tsa_033785,#238a8d
tsa_033792,#1f968b
tsa_033831,#20a386
tsa_033863,#453781
tsa_033900,#287d8e
tsa_033921,#39558c
tsa_033927,#287d8e
tsa_033934,#33638d
tsa_033946,#29af7f
tsa_034039,#2d718e
tsa_034073,#33638d
tsa_034304,#1f968b
tsa_034307,#2d718e
tsa_034338,#39558c
tsa_034367,#482576
tsa_034438,#2d718e
tsa_034441,#2d718e
tsa_034465,#33638d
tsa_034543,#33638d
tsa_034613,#2d718e
tsa_034680,#238a8d
tsa_034733,#287d8e
tsa_034828,#287d8e
tsa_034844,#404688
tsa_034866,#33638d
tsa_034882,#453781
tsa_034889,#39558c
tsa_034905,#287d8e
tsa_034922,#287d8e
tsa_034960,#33638d
tsa_035008,#39558c
tsa_035136,#287d8e
tsa_035162,#33638d
tsa_035180,#2d718e
tsa_035201,#404688
tsa_035211,#238a8d
tsa_035212,#20a386
tsa_035220,#1f968b
tsa_035276,#1f968b
tsa_035277,#3dbc74
tsa_035383,#2d718e
tsa_035390,#287d8e
tsa_035432,#2d718e
tsa_035473,#404688
tsa_035513,#39558c
tsa_035524,#404688
tsa_035548,#453781
tsa_035561,#404688
tsa_035582,#287d8e
tsa_035586,#453781
tsa_035597,#1f968b
tsa_035608,#404688
tsa_035609,#453781
tsa_035619,#1f968b
tsa_035637,#404688
tsa_035665,#404688
tsa_035679,#39558c
tsa_035682,#287d8e
tsa_035698,#404688
tsa_035704,#453781
tsa_035705,#404688
tsa_035719,#287d8e
tsa_035735,#33638d
tsa_035755,#453781
tsa_035816,#453781
tsa_035838,#39558c
tsa_035841,#33638d
tsa_035854,#404688
tsa_035882,#482576
tsa_035890,#39558c
tsa_035902,#33638d
tsa_035904,#39558c
